Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FstFlrSF,SecndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_Names,Neighborhood_NoRidge,Neighborhood_NPkVill,Neighborhood_NridgHt,Neighborhood_NWAmes,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
13,20,5,70.39390756302521,12968,1,2,0,0,0,2,2,0,0,5,6,1962,1962,3,1,6,10,2,2,1,5,2,4,6,737,6,0,175,912,1,2,1,0,912,0,0,912,1,0,1,0,2,1,2,4,0,0,6,1962.0,3,1,352,5,5,0,140,0,0,0,176,0,0,9,2008,-1,0,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,20,5,91.0,10652,1,1,0,0,0,2,2,0,0,7,5,2006,2007,1,1,14,14,1,2,2,5,2,4,6,0,6,0,1494,1494,1,0,1,0,1494,0,0,1494,0,0,2,0,3,1,1,7,0,1,6,2006.0,3,3,840,5,5,0,160,33,0,0,0,0,0,8,2007,3,5,279500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,45,7,51.0,6120,1,0,0,0,0,2,2,0,2,7,8,1929,2001,1,1,15,15,2,2,0,5,2,4,6,0,6,0,832,832,1,0,1,1,854,0,0,854,0,0,1,0,2,1,2,5,0,0,6,1991.0,3,2,576,5,5,0,48,112,0,0,0,0,0,7,2007,-1,0,132000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20,5,70.39390756302521,11241,1,1,0,0,0,2,2,0,0,6,7,1970,1970,1,1,15,15,2,2,1,5,2,4,6,578,6,0,426,1004,1,0,1,0,1004,0,0,1004,1,0,1,0,2,1,2,5,0,1,6,1970.0,3,2,480,5,5,0,0,0,0,0,0,0,700,3,2010,-1,0,149000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,90,5,72.0,10791,1,0,0,0,0,2,2,-1,0,4,5,1967,1967,1,1,8,8,2,2,3,5,2,4,6,0,6,0,0,0,1,2,1,0,1296,0,0,1296,0,0,2,0,2,2,2,6,0,0,6,1967.0,3,2,516,5,5,0,0,0,0,0,0,0,500,10,2006,-1,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,20,5,66.0,13695,1,0,0,0,0,8,2,0,0,5,5,2004,2004,1,1,14,14,2,2,2,5,2,4,6,646,6,0,468,1114,1,0,1,0,1114,0,0,1114,1,0,1,1,3,1,1,6,0,0,6,2004.0,3,2,576,5,5,0,0,102,0,0,0,0,0,6,2008,-1,0,159000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,60,5,101.0,14215,1,1,0,0,0,2,2,0,3,8,5,2005,2006,1,1,14,14,1,2,2,5,2,4,6,0,6,0,1158,1158,1,0,1,0,1158,1218,0,2376,0,0,3,1,4,1,1,9,0,1,6,2005.0,3,3,853,5,5,0,240,154,0,0,0,0,0,11,2006,3,5,325300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,45,7,57.0,7449,1,0,1,0,0,2,2,0,2,7,7,1930,1950,1,1,15,15,2,2,2,5,2,4,6,0,6,0,637,637,1,0,1,2,1108,0,0,1108,0,0,1,0,3,1,1,6,0,1,6,1930.0,3,1,280,5,5,2,0,0,205,0,0,0,0,6,2007,-1,0,139400,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,20,5,75.0,9742,1,0,0,0,0,2,2,0,0,8,5,2002,2002,3,1,14,14,1,2,2,5,2,4,6,0,6,0,1777,1777,1,0,1,0,1795,0,0,1795,0,0,2,0,3,1,1,7,0,1,6,2002.0,3,2,534,5,5,0,171,159,0,0,0,0,0,9,2008,-1,0,230000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,120,7,44.0,4224,1,0,0,0,0,2,2,3,0,5,7,1976,1976,1,1,5,-1,2,2,2,5,2,4,6,840,6,0,200,1040,1,2,1,0,1060,0,0,1060,1,0,1,0,3,1,2,6,0,1,6,1976.0,3,2,572,5,5,0,100,110,0,0,0,0,0,6,2007,-1,0,129900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,20,5,110.0,14230,1,0,0,0,0,2,2,0,0,8,5,2007,2007,1,1,14,14,1,2,2,5,2,4,6,0,6,0,1566,1566,1,0,1,0,1600,0,0,1600,0,0,2,0,3,1,1,7,0,1,6,2007.0,3,3,890,5,5,0,0,56,0,0,0,0,0,7,2009,-1,0,256300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,20,5,60.0,7200,1,0,0,0,0,2,2,0,0,5,7,1951,2000,1,1,15,15,2,2,1,5,2,4,6,234,6,486,180,900,1,2,1,0,900,0,0,900,0,1,1,0,3,1,1,5,0,0,6,2005.0,3,2,576,5,5,0,222,32,0,0,0,0,0,5,2010,-1,0,134800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,20,5,98.0,11478,1,0,0,0,0,2,2,0,0,8,5,2007,2008,1,1,14,14,1,2,2,5,2,4,6,1218,6,0,486,1704,1,0,1,0,1704,0,0,1704,1,0,2,0,3,1,1,7,0,1,6,2008.0,3,3,772,5,5,0,0,50,0,0,0,0,0,5,2010,-1,0,306000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,20,5,47.0,16321,1,1,0,0,0,2,2,0,0,5,6,1957,1997,1,1,8,8,2,2,1,5,2,4,6,1277,6,0,207,1484,1,2,1,0,1600,0,0,1600,1,0,1,0,2,1,2,6,0,2,6,1957.0,3,1,319,5,5,0,288,258,0,0,0,0,0,12,2006,-1,0,207500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,70,1,50.0,8500,1,0,0,0,0,1,2,0,3,4,4,1920,1950,2,1,3,3,2,3,0,5,2,4,6,0,6,0,649,649,1,2,0,0,649,668,0,1317,0,0,1,0,3,1,2,6,0,0,6,1920.0,3,1,250,5,5,2,0,54,172,0,0,0,0,7,2008,-1,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,20,5,70.39390756302521,8544,1,1,0,0,0,2,2,0,0,5,6,1966,2006,1,1,6,6,2,2,1,5,2,4,6,0,6,0,1228,1228,1,1,1,0,1228,0,0,1228,0,0,1,1,3,1,1,6,0,0,6,1966.0,3,1,271,5,5,0,0,65,0,0,0,0,0,6,2008,-1,0,149350,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,20,5,85.0,11049,1,0,0,0,0,2,2,0,0,8,5,2007,2007,1,1,14,14,1,2,2,5,2,4,6,0,6,0,1234,1234,1,0,1,0,1234,0,0,1234,0,0,2,0,3,1,1,7,0,0,6,2007.0,3,2,484,5,5,0,0,30,0,0,0,0,0,1,2008,-1,0,179900,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,20,5,70.0,10552,1,1,0,0,0,2,2,0,0,5,5,1959,1959,3,1,3,3,2,2,1,5,2,4,6,1018,6,0,380,1398,1,1,1,0,1700,0,0,1700,0,1,1,1,4,1,1,6,0,1,6,1959.0,3,2,447,5,5,0,0,38,0,0,0,0,0,4,2010,-1,0,165500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,60,5,108.0,13418,1,0,0,0,0,2,2,0,3,8,5,2004,2005,1,1,14,14,1,2,2,5,2,4,6,0,6,0,1117,1117,1,0,1,0,1132,1320,0,2452,0,0,3,1,4,1,1,9,0,1,6,2004.0,3,3,691,5,5,0,113,32,0,0,0,0,0,9,2006,-1,0,309000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,20,5,112.0,10859,1,0,0,0,0,2,2,0,0,5,5,1994,1995,1,1,14,14,2,2,2,5,2,4,6,0,6,0,1097,1097,1,0,1,0,1097,0,0,1097,0,0,1,1,3,1,2,6,0,0,6,1995.0,3,2,672,5,5,0,392,64,0,0,0,0,0,6,2009,-1,0,145000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,20,5,74.0,8532,1,0,0,0,0,2,2,0,0,5,6,1954,1990,3,1,15,15,2,2,1,5,2,4,6,1213,6,0,84,1297,1,1,1,0,1297,0,0,1297,0,1,1,0,3,1,2,5,0,1,6,1954.0,3,2,498,5,5,0,0,0,0,0,0,0,0,10,2009,-1,0,153000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,20,5,68.0,7922,1,0,0,0,0,2,2,0,0,5,7,1953,2007,1,1,14,14,2,1,1,5,2,4,6,731,6,0,326,1057,1,2,1,0,1057,0,0,1057,1,0,1,0,3,1,1,5,0,0,6,1953.0,3,1,246,5,5,0,0,52,0,0,0,0,0,1,2010,-1,1,109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,20,5,84.0,8658,1,0,0,0,0,2,2,0,0,6,5,1965,1965,1,1,15,15,2,2,1,5,2,4,6,643,6,0,445,1088,1,0,1,0,1324,0,0,1324,0,0,2,0,3,1,2,6,0,1,6,1965.0,3,2,440,5,5,0,0,138,0,0,0,0,0,12,2006,-1,1,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,20,5,115.0,16905,1,0,0,0,0,2,2,0,0,5,6,1959,1959,1,1,14,14,2,1,1,5,2,4,6,967,6,0,383,1350,1,1,1,0,1328,0,0,1328,0,1,1,1,2,1,2,5,0,2,6,1959.0,3,1,308,5,5,1,0,104,0,0,0,0,0,7,2007,-1,0,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,85,5,70.39390756302521,9180,1,1,0,0,0,2,2,0,6,5,7,1983,1983,1,1,6,6,2,2,1,5,2,4,6,747,6,93,0,840,1,1,1,0,884,0,0,884,1,0,1,0,2,1,1,5,0,0,6,1983.0,3,2,504,5,5,0,240,0,0,0,0,0,0,12,2007,-1,0,144000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,20,5,70.39390756302521,9200,1,1,0,0,0,2,2,0,0,5,6,1975,1980,3,1,14,14,2,2,1,5,2,4,6,280,6,491,167,938,1,2,1,0,938,0,0,938,1,0,1,0,3,1,2,5,0,0,6,1977.0,3,1,308,5,5,0,145,0,0,0,0,0,0,7,2008,-1,0,130250,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,120,5,61.0,7658,1,0,0,0,0,2,2,3,0,9,5,2005,2005,3,1,8,8,0,2,2,5,2,4,6,456,6,0,1296,1752,1,0,1,0,1752,0,0,1752,1,0,2,0,2,1,0,6,0,1,6,2005.0,3,2,576,5,5,0,196,82,0,0,0,0,0,2,2010,-1,0,319900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,50,5,48.0,12822,1,1,0,0,0,2,2,0,1,7,5,2003,2003,1,1,14,14,1,2,2,5,2,4,6,1351,6,0,83,1434,1,0,1,0,1518,631,0,2149,1,0,1,1,1,1,1,6,0,1,6,2003.0,3,2,670,5,5,0,168,43,0,0,198,0,0,8,2009,-1,1,239686,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,20,2,84.0,11096,1,0,0,0,0,2,2,0,0,8,5,2006,2006,1,1,14,14,1,2,2,5,2,4,6,24,6,0,1632,1656,1,0,1,0,1656,0,0,1656,0,0,2,0,3,1,1,7,0,0,6,2006.0,3,3,826,5,5,0,0,146,0,0,0,0,0,7,2007,-1,0,249700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,190,7,33.0,4456,1,0,0,0,0,2,2,-1,3,4,5,1920,2008,1,1,8,8,2,2,0,5,2,4,6,0,6,0,736,736,1,1,1,0,736,716,0,1452,0,0,2,0,2,3,2,8,0,0,6,2001.5,3,0,0,5,5,2,0,0,102,0,0,0,0,6,2009,3,5,113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,60,5,70.39390756302521,13869,1,2,0,0,0,2,2,0,3,6,6,1997,1997,1,1,14,14,2,2,2,5,2,4,6,182,6,0,612,794,1,1,1,0,794,676,0,1470,0,1,2,0,3,1,2,6,0,0,6,1997.0,3,2,388,5,5,0,0,75,0,0,0,0,0,7,2007,-1,0,177000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,50,7,52.0,6240,1,0,0,0,0,2,2,0,1,6,6,1934,1950,1,1,15,15,2,2,2,5,2,4,6,0,6,0,816,816,1,2,1,0,816,0,360,1176,0,0,1,0,3,1,2,6,0,1,6,1985.0,3,2,528,5,5,0,112,0,0,0,0,0,400,9,2006,-1,0,114500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,90,7,110.0,8472,0,2,1,0,1,3,2,-1,0,5,5,1963,1963,1,1,15,15,3,2,1,5,2,4,6,104,6,712,0,816,1,2,0,0,816,0,0,816,1,0,1,0,2,1,2,5,0,0,6,1963.0,3,2,516,5,5,0,106,0,0,0,0,0,0,5,2010,-1,0,110000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,20,5,68.0,50271,1,1,3,0,0,2,2,0,0,9,5,1981,1987,1,7,16,-1,1,2,1,5,2,4,6,1810,6,0,32,1842,1,1,1,0,1842,0,0,1842,2,0,0,1,0,1,1,5,0,1,6,1981.0,3,3,894,5,5,0,857,72,0,0,0,0,0,11,2006,-1,0,385000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,20,5,100.0,10175,1,1,0,0,0,2,2,0,0,6,5,1964,1964,1,1,6,10,2,2,1,5,2,4,6,490,6,0,935,1425,1,1,1,0,1425,0,0,1425,0,0,2,0,3,1,2,7,0,1,6,1964.0,3,2,576,5,5,0,0,0,0,407,0,0,0,7,2008,-1,0,180500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,160,2,24.0,2645,1,0,0,0,0,2,2,-1,3,8,5,1999,2000,1,1,8,8,1,2,2,5,2,4,6,649,6,0,321,970,1,0,1,0,983,756,0,1739,1,0,2,1,3,1,1,7,0,0,6,1999.0,3,2,480,5,5,0,115,0,0,0,0,0,0,8,2009,-1,1,172500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,60,5,89.0,11645,1,1,0,0,0,2,2,0,3,7,5,2004,2004,1,1,14,14,1,2,2,5,2,4,6,0,6,0,860,860,1,0,1,0,860,860,0,1720,0,0,2,1,3,1,1,7,0,0,6,2004.0,3,2,565,5,5,0,0,70,0,0,0,0,0,8,2006,-1,0,196500,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,60,5,66.0,13682,1,2,2,0,0,2,2,0,3,10,5,2006,2006,3,1,14,14,0,2,2,5,2,4,6,0,6,0,1410,1410,1,0,1,0,1426,1519,0,2945,0,0,3,1,3,1,1,10,0,1,6,2006.0,3,3,641,5,5,0,192,0,37,0,0,0,0,10,2006,3,5,438780,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,20,5,63.0,13072,1,0,0,0,0,8,2,0,0,6,5,2004,2004,1,1,14,14,2,2,2,5,2,4,6,941,6,0,217,1158,1,0,1,0,1158,0,0,1158,1,0,1,1,3,1,1,5,0,0,6,2006.0,3,2,576,5,5,0,0,50,0,0,0,0,0,5,2006,3,5,158000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,75,7,60.0,7200,1,0,0,0,0,2,2,0,5,5,7,1920,1996,1,1,8,8,2,2,0,5,3,4,6,0,6,0,530,530,1,2,0,0,581,530,0,1111,0,0,1,0,3,1,3,6,0,0,6,1935.0,3,1,288,5,5,2,0,0,144,0,0,0,0,3,2007,-1,0,101000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,120,5,44.0,6442,1,1,0,0,0,2,2,3,0,8,5,2006,2006,1,1,14,14,1,2,2,5,1,4,6,24,6,0,1346,1370,1,0,1,0,1370,0,0,1370,0,0,2,0,2,1,1,6,0,1,6,2006.0,3,2,484,5,5,0,120,49,0,0,0,0,0,10,2007,-1,0,202500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,70,7,50.0,10300,1,1,1,0,0,4,1,0,3,7,6,1921,1950,1,1,13,13,2,2,0,5,2,4,6,0,6,0,576,576,1,1,1,0,902,808,0,1710,0,0,2,0,3,1,2,9,0,0,6,1990.0,3,2,480,5,5,0,12,11,64,0,0,0,0,4,2010,-1,0,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,60,5,76.0,9591,1,0,0,0,0,2,2,0,3,8,5,2004,2005,1,1,14,14,1,2,2,5,2,4,6,0,6,0,1143,1143,1,0,1,0,1143,1330,0,2473,0,0,2,1,4,1,1,9,0,1,6,2004.0,3,3,852,5,5,0,192,151,0,0,0,0,0,10,2007,-1,0,317000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,20,5,70.39390756302521,19900,1,0,0,0,0,6,2,0,0,7,5,1970,1989,1,1,10,10,2,2,1,5,2,4,6,912,6,0,1035,1947,1,2,1,0,2207,0,0,2207,1,0,2,0,3,1,2,7,1,1,6,1970.0,3,2,576,5,5,0,301,0,0,0,0,0,0,7,2010,-1,0,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,20,5,72.0,10665,1,1,0,0,0,2,2,0,0,7,5,2003,2003,1,1,14,14,1,2,2,5,2,4,6,1013,6,0,440,1453,1,0,1,0,1479,0,0,1479,1,0,2,0,3,1,1,7,0,0,6,2003.0,3,2,558,5,5,0,144,29,0,0,0,0,0,6,2007,-1,0,226000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,30,7,47.0,4608,1,0,0,0,0,0,2,0,0,4,6,1945,1950,1,1,8,8,2,1,1,5,2,4,6,0,6,0,747,747,1,2,1,0,747,0,0,747,0,0,1,0,2,1,2,4,0,0,6,1945.0,3,1,220,5,5,0,0,0,0,0,0,0,0,6,2010,-1,0,80000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,20,5,95.0,13651,1,1,0,0,0,2,2,0,0,7,6,1973,1973,1,1,10,10,2,1,1,5,2,4,6,1880,6,0,343,2223,1,0,1,0,2223,0,0,2223,1,0,2,0,3,1,2,8,0,2,6,1973.0,3,2,516,5,5,0,300,0,0,0,0,0,0,2,2007,-1,0,244000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
