Emp #,Designation,Experience,Salary,AggrBehavScore,ActivityScore,LinesOfCode,Qualification,Degree,YearsOfStudy,EducationalInstitute,Gender,Empl_Band
e65,Sr.Dev,6.0,52801,6.481486934363081,5,7966,Grad,Btech,16.0,unv,M,B
e66,Sr.Dev,10.3,43279,2.046437412396656,9,5162,Grad,Btech,17.0,cunv,M,B
e67,Sr.Dev,6.9,30000,3.9066678415060236,7,6387,Grad,Btech,16.0,,M,B
e68,Sr.Dev,7.9,38667,3.1375171530188544,8,6334,Grad,Btech,16.0,unv,M,B
e69,Sr.Dev,7.4,31618,4.553923446007204,10,2721,Grad,Btech,16.0,cunv,M,B
e70,Sr.Dev,4.9,38227,2.5994200131188743,13,3126,Grad,Btech,16.0,,M,B
e71,Sr.Dev,6.2,88996,6.629993486049026,7,3749,Grad,Btech,15.0,unv,M,B
e72,Sr.Dev,4.6,76133,6.475641129221426,9,10593,PostGrad,Msc,18.0,cunv,M,B
e73,Sr.Dev,7.7,38245,3.1418971089843066,15,6952,PostGrad,Btech,16.0,,M,B
e74,Sr.Dev,6.6,39145,3.2555226568705655,13,2263,PostGrad,Mtech,18.0,unv,M,B
e75,Sr.Dev,5.1,63184,6.967902766271717,10,8841,Grad,Btech,16.0,cunv,M,B
e76,Sr.Dev,5.7,34672,2.3660097433768863,12,3356,Grad,Btech,16.0,,M,B
e77,Sr.Dev,9.2,77527,4.838763733416135,14,4351,Grad,Btech,21.0,unv,M,B
e78,Sr.Dev,9.3,35220,3.03422297018748,9,3049,Grad,Btech,16.0,cunv,M,B
e79,Sr.Dev,8.1,38493,6.606053776528097,5,3844,Grad,Btech,16.0,,M,B
e80,Sr.Dev,4.4,46724,5.448457406738788,2,7363,Grad,Btech,16.0,unv,M,B
e81,Sr.Dev,8.3,36732,4.099863912800984,7,3040,Grad,Btech,16.0,cunv,F,B
e82,Sr.Dev,6.0,34102,3.1697260011990345,7,3942,Grad,Btech,16.0,,F,B
e83,Sr.Dev,5.6,40924,3.437980087100871,13,7062,PostGrad,Mtech,18.0,unv,F,B
e84,Sr.Dev,8.0,34413,3.9996852722781497,3,1094,PostGrad,IntMsc,21.0,cunv,F,B
e1,Director,16.0,87108,0.41996704613886754,1,1051,Grad,,15.0,clg,M,A
e2,Jr.Dev,5.0,22041,5.933852509667889,18,7017,Grad,Btech,16.0,clg,F,C
e3,Sr.Dev,6.0,33402,3.30688013420747,10,2800,PostGrad,Msc,17.0,unv,M,B
e4,Jr.Dev,3.0,22923,9.003310119239401,25,9866,,Mtech,18.0,,F,C
e5,Sr.Dev,8.0,34984,3.4170935480536473,8,3203,,Btech,16.0,,F,B
e6,Sr.Dev,8.5,38624,2.483152850056989,7,3453,,,15.0,unv,M,B
e7,Sr.Dev,4.3,32500,3.74630815036406,11,2980,PostGrad,IntMsc,,cunv,F,B
e8,Director,18.0,90746,0.6755499948545503,4,1287,,,,,M,A
e9,Manager,12.0,64328,1.512621322527236,5,2799,,,18.0,iit,F,B
e10,Sr.Analyst,9.5,50279,1.1803802646846362,4,2018,Grad,B.A,15.0,,M,A
e11,Sr.Analyst,10.5,55976,1.8568233732698038,5,2663,Phd,,22.0,,M,A
e12,Sr.Manager,11.0,71562,1.0751859617814263,3,1846,,Msc,27.0,iit,F,A
e13,Analyst,10.0,42991,1.8818237986792317,5,2054,PostGrad,Mba,19.0,clg,M,C
e14,Analyst,7.300000000000001,41402,1.5462036098502585,8,1943,,,,,F,C
e15,Analyst,7.1,43608,1.662000054200813,8,2504,Grad,Bsc,15.0,iit,F,C
e16,Manager,11.2,66689,1.5777197164138288,3,1017,Grad,Btech,16.0,clg,M,B
e17,Manager,8.8,65892,1.072450869146,3,1586,Grad,,,,M,B
e18,Sr.Manager,14.0,77054,0.7020647617898912,5,1981,,,15.0,,M,A
e19,Sr.Analyst,8.5,52553,2.043379536257387,7,1687,,,16.0,,M,A
e20,Sr.Analyst,11.7,54135,1.3251648495790245,5,2153,,,,,F,A
e21,Sr.Analyst,10.1,56476,1.7424862382992978,4,2126,,,,,M,A
e22,Sr.Analyst,9.0,50326,1.8645409211115718,7,3051,postdoc,,,,F,A
e23,Analyst,6.2,42249,2.543661794038836,5,3380,,,15.0,,M,C
e24,Analyst,6.5,47293,2.430571352007312,8,3385,,,15.0,,M,C
e25,Analyst,8.7,43001,2.4677975411667865,6,3133,,,15.0,,M,C
e26,Manager,13.0,61259,1.704342682227418,5,2410,,,17.0,,M,B
e27,Manager,13.2,68165,1.7021781888864158,4,2074,,,17.0,,M,B
e28,Manager,13.5,70979,1.3682184209183315,5,1041,,,,,F,B
e29,Sr.Analyst,12.0,76048,1.1251288666661425,2,1722,,,17.0,,F,A
e30,Sr.Manager,13.2,70467,0.7083907570605665,3,894,,,19.0,,F,A
e31,Sr.Analyst,9.2,51981,1.4275496926438638,3,1732,,,29.0,,M,A
e32,Sr.Analyst,10.9,52651,1.5303128591599329,4,2517,,,35.0,,F,A
e33,Director,13.0,98018,1.2008872409283535,5,5701,postdoc,,23.0,clg,M,A
e34,Sr.Analyst,9.0,52646,2.008040508257979,2,-675,PostGrad,Mtech,18.0,,M,A
e35,Sr.Analyst,9.2,60175,3.1986272668890106,7,2342,PostGrad,Mtech,18.0,,M,A
e36,Sr.Analyst,12.0,70596,0.6680740563685179,5,4310,PostGrad,Mtech,18.0,,M,A
e37,Sr.Analyst,14.0,68267,3.0646692699704072,4,2647,PostGrad,Mtech,18.0,,F,A
e38,Director,16.0,95245,1.9327303825796363,3,7205,PostGrad,Mtech,18.0,iit,F,A
e39,Jr.Dev,4.0,32335,5.352621413408423,13,3119,Grad,Btech,16.0,clg,M,C
e40,Jr.Dev,4.4,23301,9.767968351226436,12,5211,Grad,Btech,15.0,unv,M,C
e41,Jr.Dev,1.2999999999999998,25310,3.3662609965474015,15,7325,Grad,Btech,15.0,cunv,F,C
e42,Jr.Dev,4.7,34574,6.017442503924114,18,8825,PostGrad,Mtech,18.0,iit,F,C
e43,Jr.Dev,3.9,24818,8.585362264293995,16,4996,Grad,Btech,16.0,clg,F,C
e44,Jr.Dev,4.4,20799,3.1959297722352495,24,3238,Grad,Btech,16.0,unv,F,C
e45,Jr.Dev,3.0999999999999996,22389,6.331499612900871,3,941,Grad,Btech,16.0,cunv,M,C
e46,Jr.Dev,6.0,36547,4.886422490615996,5,9229,PostGrad,Mtech,18.0,iit,M,C
e47,Jr.Dev,5.2,30088,4.415634136774271,18,2532,Grad,Btech,16.0,clg,F,C
e48,Jr.Dev,4.2,15025,8.552262802317648,19,1478,Grad,Btech,16.0,unv,M,C
e49,Jr.Dev,2.6,23776,4.02162666387904,10,7895,Grad,Btech,16.0,cunv,F,C
e50,Jr.Dev,2.2,25986,7.059202271105125,23,914,PostGrad,Mtech,18.0,iit,M,C
e51,Jr.Dev,7.3,22005,1.4190493567838973,12,3209,Grad,Btech,16.0,clg,M,C
e52,Jr.Dev,5.7,21672,9.250651613059382,15,2703,Grad,Btech,16.0,unv,M,C
e53,Jr.Dev,2.2,27361,4.264010990181697,24,2388,Grad,Btech,16.0,cunv,M,C
e54,Jr.Dev,7.5,28251,2.133267605742893,15,5172,Grad,Btech,16.0,iit,M,C
e55,Sr.Dev,8.0,42722,6.21723550979638,14,11611,Grad,Btech,16.0,,F,B
e56,Sr.Dev,7.0,32052,3.639681575304145,4,3051,Grad,Btech,16.0,unv,F,B
e57,Sr.Dev,9.5,34453,1.6794621068795945,15,4186,Grad,Btech,16.0,cunv,F,B
e58,Sr.Dev,10.8,43054,7.151721819417425,2,9416,Grad,Btech,16.0,,F,B
e59,Sr.Dev,10.0,33855,2.412666070893993,5,7921,PostGrad,Mtech,21.0,unv,F,B
e60,Sr.Dev,7.7,31905,5.251909255915855,7,1723,PostGrad,Msc,17.0,cunv,F,B
e61,Sr.Dev,5.5,28994,7.793525130490458,12,3585,PostGrad,Msc,17.0,,F,B
e62,Sr.Dev,6.3,41879,3.547271610060031,14,4108,PostGrad,Mtech,18.0,unv,F,B
e63,Sr.Dev,6.1,34821,3.194102062127239,16,8480,PostGrad,Msc,21.0,cunv,F,B
e64,Sr.Dev,6.0,45606,5.668097275970899,13,4726,Grad,Btech,16.0,,F,B
e65,Sr.Dev,5.0,52385,6.448620978166719,8,8210,Grad,Btech,16.0,unv,M,B
e66,Sr.Dev,7.3,41773,1.4403873176176247,6,4839,Grad,Btech,17.0,cunv,M,B
e67,Sr.Dev,4.9,31397,4.314772435730337,9,6074,Grad,Btech,16.0,,M,B
e68,Sr.Dev,8.9,37769,2.7159956924713384,10,5228,Grad,Btech,16.0,unv,M,B
e69,Sr.Dev,7.4,34105,4.530864160830218,14,2747,Grad,Btech,16.0,cunv,M,B
e70,Sr.Dev,7.9,37285,2.748548202813027,13,3967,Grad,Btech,16.0,,M,B
e71,Sr.Dev,5.2,86213,6.544151649935117,8,4112,Grad,Btech,15.0,unv,M,B
e72,Sr.Dev,5.6,81057,6.874512177305237,10,10116,PostGrad,Msc,18.0,cunv,M,B
e73,Sr.Dev,9.7,38760,3.114776473974514,15,7595,PostGrad,Btech,16.0,,M,B
e74,Sr.Dev,5.6,38340,2.7648539097047973,17,3439,PostGrad,Mtech,18.0,unv,M,B
e75,Sr.Dev,5.1,59507,7.344769720038089,10,9632,Grad,Btech,16.0,cunv,M,B
e76,Sr.Dev,8.7,35164,2.2617165086021367,11,3697,Grad,Btech,16.0,,M,B
e77,Sr.Dev,8.2,75954,4.790011804244351,14,4290,Grad,Btech,21.0,unv,M,B
e78,Sr.Dev,8.3,32459,3.1179624844990106,13,2606,Grad,Btech,16.0,cunv,M,B
e79,Sr.Dev,8.1,34950,6.5295129556159415,1,4463,Grad,Btech,16.0,,M,B
e80,Sr.Dev,8.4,43485,4.960439181197103,6,6359,Grad,Btech,16.0,unv,M,B
e81,Sr.Dev,5.3,36652,4.148891712566508,7,3639,Grad,Btech,16.0,cunv,F,B
e82,Sr.Dev,4.0,31285,3.1746809120899484,11,4927,Grad,Btech,16.0,,F,B
e83,Sr.Dev,5.6,42848,3.6081758414775154,13,8394,PostGrad,Mtech,18.0,unv,F,B
e84,Sr.Dev,9.0,34210,4.260551960581531,2,1199,PostGrad,IntMsc,21.0,cunv,F,B
e1,Director,15.0,86151,1.0231649102036435,4,1918,Grad,,15.0,clg,M,A
e2,Jr.Dev,6.0,25018,6.381193755379828,18,6922,Grad,Btech,16.0,clg,F,C
e3,Sr.Dev,9.0,36453,2.4265302620725837,9,3117,PostGrad,Msc,17.0,unv,M,B
e4,Jr.Dev,5.0,22517,9.820433459441496,24,10734,,Mtech,18.0,,F,C
e5,Sr.Dev,6.0,36882,3.115695233109522,12,4794,,Btech,16.0,,F,B
e6,Sr.Dev,6.5,38471,2.933528329932951,10,3739,,,15.0,unv,M,B
e7,Sr.Dev,4.3,33703,2.846347854270753,10,3968,PostGrad,IntMsc,,cunv,F,B
e8,Director,18.0,92400,0.36888875171097907,3,1398,,,,,M,A
e9,Manager,13.0,62848,1.5238995277683087,4,1945,,,18.0,iit,F,B
e10,Sr.Analyst,11.5,52195,1.7272390726995281,6,2409,Grad,B.A,15.0,,M,A
e11,Sr.Analyst,10.5,52428,1.1784742982041991,3,3081,Phd,,22.0,,M,A
e12,Sr.Manager,13.0,70409,1.3354759735842723,6,1153,,Msc,27.0,iit,F,A
e13,Analyst,7.0,44043,1.988327308526748,8,2167,PostGrad,Mba,19.0,clg,M,C
e14,Analyst,7.300000000000001,44070,2.20435284129946,6,1908,,,,,F,C
e15,Analyst,10.1,45232,2.18456243034201,6,3409,Grad,Bsc,15.0,iit,F,C
e16,Manager,10.2,63390,1.3497370893910152,4,1549,Grad,Btech,16.0,clg,M,B
e17,Manager,8.8,67239,1.8119562125448938,5,1531,Grad,,,,M,B
e18,Sr.Manager,16.0,77937,1.4742023710221315,3,1942,,,15.0,,M,A
e19,Sr.Analyst,10.5,53135,2.293017613150735,9,2972,,,16.0,,M,A
e20,Sr.Analyst,8.7,55261,2.25048839242153,8,1426,,,,,F,A
e21,Sr.Analyst,7.1,59920,1.500459637436326,8,2686,,,,,M,A
e22,Sr.Analyst,8.0,50957,1.8346350320413913,4,3203,postdoc,,,,F,A
e23,Analyst,8.2,43503,1.8561117313899782,7,3714,,,15.0,,M,C
e24,Analyst,6.5,46652,2.2506261718907483,6,2271,,,15.0,,M,C
e25,Analyst,6.7,40970,1.8808151635754438,8,3109,,,15.0,,M,C
e26,Manager,12.0,61556,1.7309723984598067,6,1916,,,17.0,,M,B
e27,Manager,14.2,67346,1.4785512538549082,3,1698,,,17.0,,M,B
e28,Manager,10.5,68592,1.2768205080744859,6,2811,,,,,F,B
e29,Sr.Analyst,11.0,79409,1.3636017943489844,2,1110,,,17.0,,F,A
e30,Sr.Manager,15.2,71435,1.048595126040145,6,1208,,,19.0,,F,A
e31,Sr.Analyst,10.2,49057,1.647782536418219,5,2727,,,29.0,,M,A
e32,Sr.Analyst,9.9,56813,1.0852911382767492,3,2833,,,35.0,,F,A
e33,Director,12.0,100400,1.1285225734945867,8,4267,postdoc,,23.0,clg,M,A
e34,Sr.Analyst,7.0,48754,2.415638863888228,6,-80,PostGrad,Mtech,18.0,,M,A
e35,Sr.Analyst,10.2,60272,2.5030961762993402,3,1711,PostGrad,Mtech,18.0,,M,A
e36,Sr.Analyst,10.0,70420,0.6497157372503487,7,3837,PostGrad,Mtech,18.0,,M,A
e37,Sr.Analyst,11.0,67123,3.744388703036296,4,2282,PostGrad,Mtech,18.0,,F,A
e38,Director,19.0,93633,2.0669041044816643,6,8586,PostGrad,Mtech,18.0,iit,F,A
e39,Jr.Dev,6.0,30801,5.703976148177676,13,3898,Grad,Btech,16.0,clg,M,C
e40,Jr.Dev,6.4,20621,9.783414702537621,14,5539,Grad,Btech,15.0,unv,M,C
e41,Jr.Dev,3.3,26605,3.404415623020783,15,5985,Grad,Btech,15.0,cunv,F,C
e42,Jr.Dev,7.7,34865,6.724054193393387,19,8621,PostGrad,Mtech,18.0,iit,F,C
e43,Jr.Dev,3.9,22446,8.054205335432911,16,5777,Grad,Btech,16.0,clg,F,C
e44,Jr.Dev,2.4,21522,3.3877173382621475,22,2400,Grad,Btech,16.0,unv,F,C
e45,Jr.Dev,4.1,26850,6.307741248583261,2,160,Grad,Btech,16.0,cunv,M,C
e46,Jr.Dev,5.0,32201,4.730682672507135,6,10271,PostGrad,Mtech,18.0,iit,M,C
e47,Jr.Dev,4.2,29090,3.5275967669725254,17,2886,Grad,Btech,16.0,clg,F,C
e48,Jr.Dev,4.2,18737,8.85599702044952,16,1020,Grad,Btech,16.0,unv,M,C
e49,Jr.Dev,5.6,26693,3.4556499324531,8,8027,Grad,Btech,16.0,cunv,F,C
e50,Jr.Dev,1.2000000000000002,26721,6.515504265479249,21,403,PostGrad,Mtech,18.0,iit,M,C
e51,Jr.Dev,6.3,22426,1.2089850000303626,12,2527,Grad,Btech,16.0,clg,M,C
e52,Jr.Dev,6.7,22055,9.246004328819554,13,2638,Grad,Btech,16.0,unv,M,C
e53,Jr.Dev,4.2,23045,4.339338405835182,23,2278,Grad,Btech,16.0,cunv,M,C
e54,Jr.Dev,7.5,30878,2.215047569813779,14,5643,Grad,Btech,16.0,iit,M,C
e55,Sr.Dev,7.0,38375,6.207839501971885,14,11388,Grad,Btech,16.0,,F,B
e56,Sr.Dev,8.0,33074,4.053464356707803,6,4268,Grad,Btech,16.0,unv,F,B
e57,Sr.Dev,9.5,38898,2.3820725126692963,13,4517,Grad,Btech,16.0,cunv,F,B
e58,Sr.Dev,8.8,44801,7.272206824971847,4,9510,Grad,Btech,16.0,,F,B
e59,Sr.Dev,11.0,31198,2.8853759403272647,6,7122,PostGrad,Mtech,21.0,unv,F,B
e60,Sr.Dev,6.7,34058,4.430320472353168,8,652,PostGrad,Msc,17.0,cunv,F,B
e61,Sr.Dev,5.5,29047,7.803775980582262,11,3526,PostGrad,Msc,17.0,,F,B
e62,Sr.Dev,6.3,40440,3.7540679978063003,11,5615,PostGrad,Mtech,18.0,unv,F,B
e63,Sr.Dev,8.1,30452,3.1687635423778806,13,8001,PostGrad,Msc,21.0,cunv,F,B
e64,Sr.Dev,7.0,46850,5.039819602855628,13,4746,Grad,Btech,16.0,,F,B
e65,Sr.Dev,9.0,51937,6.703962530579074,8,8516,Grad,Btech,16.0,unv,M,B
e66,Sr.Dev,8.3,42363,1.5524172630626993,5,4464,Grad,Btech,17.0,cunv,M,B
e67,Sr.Dev,6.9,34005,4.242185109636887,11,7719,Grad,Btech,16.0,,M,B
e68,Sr.Dev,6.9,38415,3.22245821441169,10,5682,Grad,Btech,16.0,unv,M,B
e69,Sr.Dev,7.4,33281,4.476237912900998,11,2758,Grad,Btech,16.0,cunv,M,B
e70,Sr.Dev,7.9,39796,2.748293627879934,9,4767,Grad,Btech,16.0,,M,B
e71,Sr.Dev,6.2,86949,6.987662691918124,6,4506,Grad,Btech,15.0,unv,M,B
e72,Sr.Dev,4.6,77605,6.583620031418917,6,10159,PostGrad,Msc,18.0,cunv,M,B
e73,Sr.Dev,9.7,40195,3.8917343621621314,16,7570,PostGrad,Btech,16.0,,M,B
e74,Sr.Dev,7.6,38677,2.7725656239676897,17,3594,PostGrad,Mtech,18.0,unv,M,B
e75,Sr.Dev,5.1,62012,7.210101654877208,10,8543,Grad,Btech,16.0,cunv,M,B
e76,Sr.Dev,5.7,33887,2.416580034522638,15,3608,Grad,Btech,16.0,,M,B
e77,Sr.Dev,7.2,80503,4.062228463335103,13,5133,Grad,Btech,21.0,unv,M,B
e78,Sr.Dev,8.3,33119,3.4461203402765874,9,1792,Grad,Btech,16.0,cunv,M,B
e79,Sr.Dev,8.1,37103,6.7797520752701566,4,4781,Grad,Btech,16.0,,M,B
e80,Sr.Dev,8.4,47057,4.712826626754085,3,7120,Grad,Btech,16.0,unv,M,B
e81,Sr.Dev,5.3,34478,4.1448625551497935,6,4457,Grad,Btech,16.0,cunv,F,B
e82,Sr.Dev,7.0,32526,3.939538900036787,9,5722,Grad,Btech,16.0,,F,B
e83,Sr.Dev,5.6,43553,3.893081661773637,12,8082,PostGrad,Mtech,18.0,unv,F,B
e84,Sr.Dev,10.0,33632,3.4600612236555968,2,1004,PostGrad,IntMsc,21.0,cunv,F,B
e1,Director,18.0,84074,1.2060830684705963,4,2050,Grad,,15.0,clg,M,A
e2,Jr.Dev,3.0,22979,6.5047989375661235,19,5837,Grad,Btech,16.0,clg,F,C
e3,Sr.Dev,5.0,33498,2.782340849172294,6,2539,PostGrad,Msc,17.0,unv,M,B
e4,Jr.Dev,3.0,22680,9.462253223459934,26,10367,,Mtech,18.0,,F,C
e5,Sr.Dev,4.0,37685,3.3378268909820945,8,4850,,Btech,16.0,,F,B
e6,Sr.Dev,5.5,34626,2.7627949615669323,9,2627,,,15.0,unv,M,B
e7,Sr.Dev,8.3,32911,3.2992829586703585,11,4460,PostGrad,IntMsc,,cunv,F,B
e8,Director,19.0,89167,0.2416222366429,4,744,,,,,M,A
e9,Manager,13.0,60481,1.1684999672423135,7,1524,,,18.0,iit,F,B
e10,Sr.Analyst,8.5,53202,1.9191991026427635,7,2752,Grad,B.A,15.0,,M,A
e11,Sr.Analyst,9.5,56286,1.4348856071136376,7,2607,Phd,,22.0,,M,A
e12,Sr.Manager,15.0,70982,1.491080248524181,3,776,,Msc,27.0,iit,F,A
e13,Analyst,9.0,46464,1.7059841212702591,7,2732,PostGrad,Mba,19.0,clg,M,C
e14,Analyst,11.3,41278,1.9478433478805908,7,2984,,,,,F,C
e15,Analyst,11.1,47662,1.727578303337788,7,1513,Grad,Bsc,15.0,iit,F,C
e16,Manager,13.2,64594,0.9918443452953166,3,2347,Grad,Btech,16.0,clg,M,B
e17,Manager,8.8,66316,1.9348864937442034,4,2684,Grad,,,,M,B
e18,Sr.Manager,14.0,78909,1.1117026798685115,3,2021,,,15.0,,M,A
e19,Sr.Analyst,6.5,53753,1.960592413094035,8,2338,,,16.0,,M,A
e20,Sr.Analyst,9.7,55776,1.6358171180562826,4,1538,,,,,F,A
e21,Sr.Analyst,11.1,57460,2.3219255393002114,7,2941,,,,,M,A
e22,Sr.Analyst,8.0,47685,1.8874546865518016,8,2783,postdoc,,,,F,A
e23,Analyst,8.2,43508,1.8206581016860426,6,2561,,,15.0,,M,C
e24,Analyst,9.5,50092,1.833696662420316,6,3248,,,15.0,,M,C
e25,Analyst,8.7,41402,1.7696105796494965,5,2492,,,15.0,,M,C
e26,Manager,10.0,63834,1.273468944838573,5,2087,,,17.0,,M,B
e27,Manager,11.2,64630,0.9369973230024239,2,1248,,,17.0,,M,B
e28,Manager,12.5,68901,1.502056294594672,6,2269,,,,,F,B
e29,Sr.Analyst,14.0,77582,0.6711596067935857,2,855,,,17.0,,F,A
e30,Sr.Manager,13.2,75552,0.6997343322673498,5,1932,,,19.0,,F,A
e31,Sr.Analyst,10.2,53683,1.5376109266173204,4,1762,,,29.0,,M,A
e32,Sr.Analyst,10.9,53237,1.0323865353918187,3,2896,,,35.0,,F,A
e33,Director,16.0,97988,1.289471545148489,7,5129,postdoc,,23.0,clg,M,A
e34,Sr.Analyst,10.0,50865,2.7182856262747945,6,886,PostGrad,Mtech,18.0,,M,A
e35,Sr.Analyst,10.2,62553,2.4662940272781966,6,2223,PostGrad,Mtech,18.0,,M,A
e36,Sr.Analyst,13.0,65346,0.6850210956547832,4,4274,PostGrad,Mtech,18.0,,M,A
e37,Sr.Analyst,12.0,68503,3.31016232273692,2,2640,PostGrad,Mtech,18.0,,F,A
e38,Director,18.0,96033,1.499709664054666,3,6968,PostGrad,Mtech,18.0,iit,F,A
